phone_number,place_id,email,business_name,full_address,street,cid,image,municipality,plus_code,social_media_links,opening_hours,google_map_url,latitude,longitude,reviews_url,average_rating,review_count,website,categories,phones
(206) 201-1148,ChIJJxp82oZqkFQR84xbR-HfaBU,,John Michael Roofing,"1400 Hubbell Pl, Seattle, WA 98101, USA","1400 Hubbell Place, Seattle",1542729031032212723,https://lh3.googleusercontent.com/places/ANJU3DuCY3WMCKSUH8716SUOjofTJ_TW9Id0yVln1zu7zn6wl6319ziiGpMfu37KGHD1pYfMoD6iJcFdzxzuM9kiE0qkqH85lGsqlvg=s1600-w400,"Seattle, WA 98101",84VVJM6C+V3,,"Monday: [9:00 AM – 6:00 PM], Tuesday: [9:00 AM – 6:00 PM], Wednesday: [9:00 AM – 6:00 PM], Thursday: [9:00 AM – 6:00 PM], Friday: [9:00 AM – 6:00 PM], Saturday: [Closed], Sunday: [Closed]",https://maps.google.com/?cid=1542729031032212723,47.6121375,-122.3298179,https://search.google.com/local/reviews?placeid=ChIJJxp82oZqkFQR84xbR-HfaBU&q=John+Michael+Roofing%2C+1400+Hubbell+Pl%2C+Seattle%2C+WA+98101%2C+USA&authuser=0&hl=en&gl=US,4.7,12,http://johnmichaelroofing.com/,"roofing_contractor, general_contractor, point_of_interest, establishment",+1 206-201-1148
(206) 867-6480,ChIJczABUVtBkFQRPaHKwuddzFU,3guysonaroof@gmail.com,3 Guys On A Roof,"2201 SW Holden St Apt F103, Seattle, WA 98106, USA","2201 Southwest Holden Street Apt F103, Seattle",6182419638459736381,https://lh3.googleusercontent.com/places/ANJU3DukIo-V6QheEXOfKt_mgjcUxVRy3W9OBvte9pHznLqSOFx_aayG4YDhy-TL6lNw8LDUtxzeOw4CZQGkxn7XPW6U8RTSB5mUK_4=s1600-w400,"Seattle, WA 98106",84VVGJMP+3H,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=6182419638459736381,47.5326708,-122.3635672,https://search.google.com/local/reviews?placeid=ChIJczABUVtBkFQRPaHKwuddzFU&q=3+Guys+On+A+Roof%2C+2201+SW+Holden+St+Apt+F103%2C+Seattle%2C+WA+98106%2C+USA&authuser=0&hl=en&gl=US,4.9,31,http://3guysonaroof.com/,"roofing_contractor, point_of_interest, establishment",+1 206-867-6480
(206) 965-8943,ChIJzx4cikMVkFQRbXDb5DZCejg,,Seattle Roofing Contractors,"5020 Roosevelt Way NE # 8, Seattle, WA 98105, USA","5020 Roosevelt Way Northeast # 8, Seattle",4069638016817918061,https://lh3.googleusercontent.com/places/ANJU3Dvg9m1IcZIgaQWGuqVeqWceFnTpbFV42lCpRMdWp5VRtYVckHJyryDb3zNlaPQXbH6tKNjsDw51XiC6MKE1wIAoouws4pZgVaA=s1600-w400,"Seattle, WA 98105",84VVMM8M+65,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=4069638016817918061,47.66559660000001,-122.3170703,https://search.google.com/local/reviews?placeid=ChIJzx4cikMVkFQRbXDb5DZCejg&q=Seattle+Roofing+Contractors%2C+5020+Roosevelt+Way+NE+%23+8%2C+Seattle%2C+WA+98105%2C+USA&authuser=0&hl=en&gl=US,,,http://roof-contractor.org/Seattle-WA.html,"roofing_contractor, store, point_of_interest, establishment",+1 206-965-8943
(206) 367-7663,ChIJ07S-I9ATkFQRc1I9yt9u4mc,,Sharp Roofing,"10723 Exeter Ave NE, Seattle, WA 98125, USA","10723 Exeter Avenue Northeast, Seattle",7485667438092964467,https://lh3.googleusercontent.com/places/ANJU3Dtgxk0CsoPFHtVz2gw5goo-AialMdT27VJ5bXhrVT2ixHbJM9goR8O9y5VTy7Wx0azmXH33FQVCgX1_tQJlwQvqX6Zyx1qD38k=s1600-w400,"Seattle, WA 98125",84VVPP5C+8W,,"Monday: [8:00 AM – 6:00 PM], Tuesday: [8:00 AM – 6:00 PM], Wednesday: [8:00 AM – 6:00 PM], Thursday: [8:00 AM – 6:00 PM], Friday: [8:00 AM – 6:00 PM], Saturday: [8:00 AM – 6:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=7485667438092964467,47.7082762,-122.2776895,https://search.google.com/local/reviews?placeid=ChIJ07S-I9ATkFQRc1I9yt9u4mc&q=Sharp+Roofing%2C+10723+Exeter+Ave+NE%2C+Seattle%2C+WA+98125%2C+USA&authuser=0&hl=en&gl=US,4.2,56,https://sharproofing.com/,"roofing_contractor, point_of_interest, establishment",+1 206-367-7663
(206) 604-8098,ChIJ____P7RqkFQRUd3DU3c-zn8,absolutequalityrr@gmail.com,Absolute Quality Roof Restoration,"44th Pl NE, Seattle, WA 98115, USA","44th Place Northeast, Seattle",9209366970246618449,https://lh3.googleusercontent.com/places/ANJU3Ds6K5OkTxjnUuGueqHFGp44udORXQTd7zdlsp20RPVRWFsPVUQ-WqAZNsi_574Nv-rng96BhDDgPV-CWPOZGgEnM-G_5Smi4vY=s1600-w400,"Seattle, WA 98115",84VVMM55+X7,,"Monday: [9:00 AM – 6:00 PM], Tuesday: [9:00 AM – 6:00 PM], Wednesday: [9:00 AM – 6:00 PM], Thursday: [9:00 AM – 6:00 PM], Friday: [9:00 AM – 6:00 PM], Saturday: [Closed], Sunday: [Closed]",https://maps.google.com/?cid=9209366970246618449,47.6599668,-122.3417647,https://search.google.com/local/reviews?placeid=ChIJ____P7RqkFQRUd3DU3c-zn8&q=Absolute+Quality+Roof+Restoration%2C+44th+Pl+NE%2C+Seattle%2C+WA+98115%2C+USA&authuser=0&hl=en&gl=US,5,44,http://www.absolutequalityroof.com/,"roofing_contractor, point_of_interest, establishment",+1 206-604-8098
(206) 483-0932,ChIJ85Zozb5rkFQRJlIqoEySjpM,,Seattle Roof Cleaning,"1103 5th Ave, Seattle, WA 98101, USA","1103 5th Avenue, Seattle",10632596628070617638,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1mtYL8f3jCPWwGO9yCiCJlbi8LikmuJMew,"Seattle, WA 98101",84VVJM49+W2,,"Monday: [6:00 AM – 11:30 PM], Tuesday: [6:00 AM – 11:30 PM], Wednesday: [6:00 AM – 11:30 PM], Thursday: [6:00 AM – 11:30 PM], Friday: [6:00 AM – 11:30 PM], Saturday: [6:00 AM – 11:30 PM], Sunday: [6:00 AM – 11:30 PM]",https://maps.google.com/?cid=10632596628070617638,47.60729860000001,-122.332484,https://search.google.com/local/reviews?placeid=ChIJ85Zozb5rkFQRJlIqoEySjpM&q=Seattle+Roof+Cleaning%2C+1103+5th+Ave%2C+Seattle%2C+WA+98101%2C+USA&authuser=0&hl=en&gl=US,4.8,22,https://seattle-roof-cleaning.business.site/,"roofing_contractor, point_of_interest, establishment",+1 206-483-0932
(773) 495-2021,ChIJX66kUGMtDogR6QcktYGCT98,,Y&B Roofing Inc.,"3314 S Leavitt St, Chicago, IL 60608, USA","3314 South Leavitt Street, Chicago",16091223487219501033,https://lh3.googleusercontent.com/places/ANJU3DucZdAZ3EyrNHpvVGrheGFnoVblVD_AcuSm_MS6TQocs-i-4QzuaBSeQckJWLR69QRcI2ndyVIRTlISNjuTHYxO9xM26We8EFo=s1600-w400,"Chicago, IL 60608",86HJR8M9+9R,Not Available,"Monday: [9:00 AM – 5:00 PM], Tuesday: [9:00 AM – 5:00 PM], Wednesday: [9:00 AM – 5:00 PM], Thursday: [9:00 AM – 5:00 PM], Friday: [9:00 AM – 5:00 PM], Saturday: [9:00 AM – 3:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=16091223487219501033,41.8334652,-87.6804781,https://search.google.com/local/reviews?placeid=ChIJX66kUGMtDogR6QcktYGCT98&q=Y%26B+Roofing+Inc.%2C+3314+S+Leavitt+St%2C+Chicago%2C+IL+60608%2C+USA&authuser=0&hl=en&gl=US,5,13,,"roofing_contractor, point_of_interest, establishment",+1 773-495-2021
(773) 508-1723,ChIJVUBKairOD4gR5IlJHqF6h64,,"Andres Roofing & Construction, Inc.","2736 W Touhy Ave, Chicago, IL 60645, USA","2736 West Touhy Avenue, Chicago",12576155316871858660,https://lh3.googleusercontent.com/places/ANJU3DvQc4T_zcfgb7MTlPWNZ1-_v5PKtFRUXv0JKWbSj-xpZIMt-THBNj0e95lwGtcuuL0I0eENu8Umd44fB1DhmGTCIkHPty2Vy0o=s1600-w400,"Chicago, IL 60645",86JJ2862+VG,,"Monday: [8:00 AM – 4:00 PM], Tuesday: [8:00 AM – 4:00 PM], Wednesday: [8:00 AM – 4:00 PM], Thursday: [8:00 AM – 4:00 PM], Friday: [8:00 AM – 4:00 PM], Saturday: [8:00 AM – 4:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=12576155316871858660,42.01222070000001,-87.69873840000001,https://search.google.com/local/reviews?placeid=ChIJVUBKairOD4gR5IlJHqF6h64&q=Andres+Roofing+%26+Construction%2C+Inc.%2C+2736+W+Touhy+Ave%2C+Chicago%2C+IL+60645%2C+USA&authuser=0&hl=en&gl=US,3.9,21,http://www.andresroofing1.com/,"roofing_contractor, general_contractor, point_of_interest, establishment",+1 773-508-1723
(773) 620-0038,ChIJZ89BUpc7DogRBlJirXck8VQ,,Chicago Roofing Assistance,"2923 N Milwaukee Ave Suite# 316, Chicago, IL 60618, USA","2923 North Milwaukee Avenue Suite# 316, Chicago",6120713465001824774,https://lh3.googleusercontent.com/places/ANJU3Du2hEzynlHsbn0zV2miQgN69vAl9VUxJ0LqUiNcgsHy_fU7bYvnMAND21JED-Au6Xw-vb5elaQpcmEPo_WrINfM1iCBGT8u5Sg=s1600-w400,"Chicago, IL 60618",86HJW7MM+RM,,"Monday: [7:00 AM – 5:00 PM], Tuesday: [7:00 AM – 5:00 PM], Wednesday: [7:00 AM – 5:00 PM], Thursday: [7:00 AM – 5:00 PM], Friday: [7:00 AM – 5:00 PM], Saturday: [9:00 AM – 3:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=6120713465001824774,41.9345531,-87.7158262,https://search.google.com/local/reviews?placeid=ChIJZ89BUpc7DogRBlJirXck8VQ&q=Chicago+Roofing+Assistance%2C+2923+N+Milwaukee+Ave+Suite%23+316%2C+Chicago%2C+IL+60618%2C+USA&authuser=0&hl=en&gl=US,5,10,http://chicagoroofingassistance.com/,"roofing_contractor, point_of_interest, establishment",+1 773-620-0038
(773) 930-9861,ChIJEU1DfO3LD4gR45hZg1Jw6zo,,APR Roofing,"6351 W Montrose Ave, Chicago, IL 60634, USA","6351 West Montrose Avenue, Chicago",4245610573420140771,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1mtYL8f3jCPWwGO9yCiCJlbi8LikmuJMew,"Chicago, IL 60634",86HJX657+XC,,"Monday: [7:00 AM – 6:00 PM], Tuesday: [7:00 AM – 6:00 PM], Wednesday: [7:00 AM – 6:00 PM], Thursday: [7:00 AM – 6:00 PM], Friday: [7:00 AM – 6:00 PM], Saturday: [7:00 AM – 6:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=4245610573420140771,41.9599375,-87.7863852,https://search.google.com/local/reviews?placeid=ChIJEU1DfO3LD4gR45hZg1Jw6zo&q=APR+Roofing%2C+6351+W+Montrose+Ave%2C+Chicago%2C+IL+60634%2C+USA&authuser=0&hl=en&gl=US,5,7,https://www.aprroofingchicago.com/,"roofing_contractor, point_of_interest, establishment",+1 773-930-9861
