phone_number,place_id,email,business_name,full_address,street,cid,image,municipality,plus_code,social_media_links,opening_hours,google_map_url,latitude,longitude,reviews_url,average_rating,review_count,website,categories,phones
0803 644 9242,ChIJTx0YD5aTOxARiKlcvNaqunA,,Emho Roofing & Gutters,"4, Dosu ogundele street, off Akowonjo Rd, Egbeda 102213, Lagos, Nigeria","4, Dosu ogundele street, off Akowonjo Road, Lagos",8122992717176023432,https://lh3.googleusercontent.com/places/ANJU3DtbbvclYVlMEqOWKOzgBZSh3w0NyMkZaac-GUzwzIs0gfkIQWVHIfNMuBXjdL8i6HJNCdD0x1IqST0OHcOlqCc50gq__g-tIg=s1600-w400,"Lagos, LA 102213",6FR5J72W+3P,Facebook:  https://www.facebook.com/1096979427104143/   ,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Closed]",https://maps.google.com/?cid=8122992717176023432,6.6001702,3.296846,https://search.google.com/local/reviews?placeid=ChIJTx0YD5aTOxARiKlcvNaqunA&q=Emho+Roofing+%26+Gutters%2C+4%2C+Dosu+ogundele+street%2C+off+Akowonjo+Rd%2C+Egbeda+102213%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,4.7,15,https://emhoroofinggutters.business.site/,"roofing_contractor, point_of_interest, establishment",+234 803 644 9242
(206) 935-1575,ChIJZxwBbtFBkFQR607Xy8vDhjE,,A Better Roofing Company,"4126 Airport Way S, Seattle, WA 98108, USA","4126 Airport Way South, Seattle",3568755034803359467,https://lh3.googleusercontent.com/places/ANJU3Dvon3dq-biFAlotRgK9J3BYl9iYEvbHhPmrdk0i2SO0m-tydwALRuwN8w-N6UOidPBtrdxrDgzhN0QasFY8Ip7y6_TbnRVHVNg=s1600-w400,"Seattle, WA 98108",84VVHM8H+M2,,"Monday: [7:00 AM – 3:30 PM], Tuesday: [7:00 AM – 3:30 PM], Wednesday: [7:00 AM – 3:30 PM], Thursday: [7:00 AM – 3:30 PM], Friday: [7:00 AM – 3:30 PM], Saturday: [Closed], Sunday: [Closed]",https://maps.google.com/?cid=3568755034803359467,47.5667278,-122.3223804,https://search.google.com/local/reviews?placeid=ChIJZxwBbtFBkFQR607Xy8vDhjE&q=A+Better+Roofing+Company%2C+4126+Airport+Way+S%2C+Seattle%2C+WA+98108%2C+USA&authuser=0&hl=en&gl=US,4.7,61,https://www.abetterroofing.com/?utm_source=google&utm_medium=GMB&utm_campaign=profile,"roofing_contractor, point_of_interest, establishment",+1 206-935-1575
0903 741 0074,ChIJ5RVbn_yROxARcgNK_642_EU,,Bright Star Aluminium Roofing system,"Mulero Street, Ipaja Rd, Agege 102212, Lagos, Nigeria","Mulero Street, Ipaja Road, Lagos",5042965807983362930,https://lh3.googleusercontent.com/places/ANJU3DughLisDNnvbIUzgxMczh8zl9Df-5xPMaWeuGEdgMw9xnzeq_d8VmrDLmWbm2ezj2keiXiB34aAoC3OzJaQoh6jvU5IKcvhSiE=s1600-w400,"Lagos, LA 102212",6FR5J8G5+63,,"Monday: [8:30 AM – 6:00 PM], Tuesday: [8:30 AM – 6:00 PM], Wednesday: [8:30 AM – 6:00 PM], Thursday: [8:30 AM – 6:00 PM], Friday: [8:30 AM – 5:30 PM], Saturday: [8:30 AM – 5:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=5042965807983362930,6.625579699999999,3.307635,https://search.google.com/local/reviews?placeid=ChIJ5RVbn_yROxARcgNK_642_EU&q=Bright+Star+Aluminium+Roofing+system%2C+Mulero+Street%2C+Ipaja+Rd%2C+Agege+102212%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,5,14,https://brightstaraluminiumsales.business.site/?utm_source=gmb&utm_medium=referral,"roofing_contractor, store, point_of_interest, establishment",+234 903 741 0074
(206) 207-2039,ChIJnc2rQHprkFQReKxiJMhFz30,,Roofing Guys,"119 1st Ave S #1, Seattle, WA 98104, USA","119 1st Avenue South #1, Seattle",9065541300826319992,https://lh3.googleusercontent.com/places/ANJU3DuUYwClBVO4pYK_jBI8A7N3KQKIOl8P-Iwi17OL2WhcYc3Io4w7UPlNX0vi_kGHCMvOMq5wRwsUmTwh7sm_d0QMAcevVPxn8FU=s1600-w400,"Seattle, WA 98104",84VVJM28+C5,,"Monday: [7:00 AM – 8:00 PM], Tuesday: [7:00 AM – 8:00 PM], Wednesday: [7:00 AM – 8:00 PM], Thursday: [7:00 AM – 8:00 PM], Friday: [7:00 AM – 8:00 PM], Saturday: [7:00 AM – 8:00 PM], Sunday: [7:00 AM – 8:00 PM]",https://maps.google.com/?cid=9065541300826319992,47.6010575,-122.3345728,https://search.google.com/local/reviews?placeid=ChIJnc2rQHprkFQReKxiJMhFz30&q=Roofing+Guys%2C+119+1st+Ave+S+%231%2C+Seattle%2C+WA+98104%2C+USA&authuser=0&hl=en&gl=US,5,7,https://roofingrepairguy.com/seattle-wa/,"roofing_contractor, point_of_interest, establishment",+1 206-207-2039
(206) 210-3300,ChIJF5KS6nwVkFQRZeHe9Yi9dfY,,Three Tree Roofing,"1455 Leary Wy NW, Seattle, WA 98107, USA","1455 Leary Way Northwest, Seattle",17759309101543645541,https://lh3.googleusercontent.com/places/ANJU3Du3Qjut0145_ecXORODd-m2di3sQR1syeiJMawD0EY3FL-BtYYrkl8xKKS6mG2tkEtH-X1dfQiHzOPuK30I5QbfQ0mJlhwWRGk=s1600-w400,"Seattle, WA 98107",84VVMJ7F+CM,Facebook:  https://www.facebook.com/ThreeTreeRoofing/   Twitter:  https://www.Twitter.com/threetreeroof/    Instagram:  https://www.Instagram.com/Threetreeroofing/ LinkedIn:  https://www.LinkedIn.com/company/three-tree-roofing/  YouTube_Channel:  https://www.youtube.com/channel/UC5oY2ZyDrSBCO25F6szaf1w/  ,"Monday: [7:00 AM – 4:00 PM], Tuesday: [7:00 AM – 4:00 PM], Wednesday: [7:00 AM – 4:00 PM], Thursday: [7:00 AM – 4:00 PM], Friday: [7:00 AM – 4:00 PM], Saturday: [Closed], Sunday: [Closed]",https://maps.google.com/?cid=17759309101543645541,47.66354239999999,-122.3758284,https://search.google.com/local/reviews?placeid=ChIJF5KS6nwVkFQRZeHe9Yi9dfY&q=Three+Tree+Roofing%2C+1455+Leary+Wy+NW%2C+Seattle%2C+WA+98107%2C+USA&authuser=0&hl=en&gl=US,5,11,https://www.threetreeroofing.com/contact-three-tree-roofing/three-tree-roofing-seattle-company-office/,"roofing_contractor, general_contractor, point_of_interest, establishment",+1 206-210-3300
0808 800 0310,ChIJYQ-9S9OROxAR1I6ilpEFiO0,,STAR-SUN ALUMINUM ROOFING LIMITED,"6 Yaba Ln, Dopemu 100218, Ikeja, Lagos, Nigeria","6 Yaba Lane, Ikeja",17115936506677202644,https://lh3.googleusercontent.com/places/ANJU3DtBX5Q2BdRnuKh_LSW9qUDEE09jTOF4mafYyrr2Ux_63G7htaxuewr4rNjHVoC2QQ8Kc24IEE7pyETxSQFaEji9BNwtolkErR0=s1600-w400,"Ikeja, LA 100218",6FR5J82Q+M4,Not Available,"Monday: [8:00 AM – 6:30 PM], Tuesday: [8:30 AM – 6:30 PM], Wednesday: [8:30 AM – 6:30 PM], Thursday: [8:30 AM – 6:30 PM], Friday: [8:30 AM – 6:30 PM], Saturday: [8:30 AM – 6:30 PM], Sunday: [Closed]",https://maps.google.com/?cid=17115936506677202644,6.6016336,3.3377856,https://search.google.com/local/reviews?placeid=ChIJYQ-9S9OROxAR1I6ilpEFiO0&q=STAR-SUN+ALUMINUM+ROOFING+LIMITED%2C+6+Yaba+Ln%2C+Dopemu+100218%2C+Ikeja%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,5,7,,"roofing_contractor, point_of_interest, establishment",+234 808 800 0310
(253) 765-5754,ChIJYX-AQJNqkFQRg70khVUw72s,,Seattle Authentic Roofing & Siding,"1908 S Bush Pl, Seattle, WA 98144, USA","1908 South Bush Place, Seattle",7777488225356266883,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1mtYL8f3jCPWwGO9yCiCJlbi8LikmuJMew,"Seattle, WA 98144",84VVHMVR+5X,Not Available,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=7777488225356266883,47.5929225,-122.3075816,https://search.google.com/local/reviews?placeid=ChIJYX-AQJNqkFQRg70khVUw72s&q=Seattle+Authentic+Roofing+%26+Siding%2C+1908+S+Bush+Pl%2C+Seattle%2C+WA+98144%2C+USA&authuser=0&hl=en&gl=US,5,5,,"roofing_contractor, point_of_interest, establishment",+1 253-765-5754
0802 488 8351,ChIJfyFC8AaROxARDNj3xwtxz6s,,Sobez Advanced Roofing,"local government, Alimosho Rd, Alimosho 102213, Lagos, Nigeria","local government, Alimosho Road, Lagos",12380238196078270476,https://lh3.googleusercontent.com/places/ANJU3Ds3MttpbyI6e2FbQlource-hfrjClsZKiRs7_Sy_Z-CQzuIh1PYm59VFx_yYNKO8REWzfXW7LxjwvfkfHhuWUD3hYlTR4YtiA8=s1600-w400,"Lagos, LA 102213",6FR5J862+J9,Not Available,"Monday: [8:00 AM – 6:00 PM], Tuesday: [8:00 AM – 6:00 PM], Wednesday: [8:00 AM – 6:00 PM], Thursday: [8:00 AM – 6:00 PM], Friday: [8:00 AM – 6:00 PM], Saturday: [9:00 AM – 4:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=12380238196078270476,6.6115509,3.3009447,https://search.google.com/local/reviews?placeid=ChIJfyFC8AaROxARDNj3xwtxz6s&q=Sobez+Advanced+Roofing%2C+local+government%2C+Alimosho+Rd%2C+Alimosho+102213%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,4.7,3,,"roofing_contractor, point_of_interest, establishment",+234 802 488 8351
0902 006 9988,ChIJiyYgGmSROxARPM2F-TlwIRE,,Best Roofing services,"5 Akintoye St, iyana ipaja 102212, Lagos, Nigeria","5 Akintoye Street, Lagos",1234391167177968956,https://lh3.googleusercontent.com/places/ANJU3DsT40Y52XATc0uWna90Uw9gfOjJcxvSDJUT6gUhg-sZiledNG6RD3y0SFNs5vgEs35iOpAzkfRRQ-Eg97ibp0cWoi45hUcnjgw=s1600-w400,"Lagos, LA 102212",6FR5J893+C5,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=1234391167177968956,6.618532500000001,3.3028902,https://search.google.com/local/reviews?placeid=ChIJiyYgGmSROxARPM2F-TlwIRE&q=Best+Roofing+services%2C+5+Akintoye+St%2C+iyana+ipaja+102212%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,,,https://bestroofingservices.business.site/?utm_source=gmb&utm_medium=referral,"roofing_contractor, point_of_interest, store, establishment",+234 902 006 9988
0813 441 3579,ChIJZ1ngHA-JOxAROO0RxZBS6qw,contact@scheckmates.org,Scheckmates Services,"40/41 4th Ave, Festac Town 101232, Lagos, Nigeria","40/41 4th Avenue, Lagos",12459862100808953144,https://lh3.googleusercontent.com/places/ANJU3Dt-53tQyni0_TBFyg3xOFSWqeSlBQj0WsTORLjhlYOPGV81puLD0wxGliexOZZOLFY_La4Rqt1YIwkOCNjSs3CudlcviZ7UDuA=s1600-w400,"Lagos, LA 101232",6FR5F7GP+G5,Instagram:  https://www.Instagram.com/scheckmaster/ LinkedIn:  https://www.LinkedIn.com/company/34912092/  ,"Monday: [8:00 AM – 6:00 PM], Tuesday: [8:00 AM – 6:00 PM], Wednesday: [8:00 AM – 6:00 PM], Thursday: [8:00 AM – 6:00 PM], Friday: [9:00 AM – 5:30 PM], Saturday: [10:00 AM – 4:30 PM], Sunday: [Closed]",https://maps.google.com/?cid=12459862100808953144,6.476283499999999,3.2854969,https://search.google.com/local/reviews?placeid=ChIJZ1ngHA-JOxAROO0RxZBS6qw&q=Scheckmates+Services%2C+40%2F41+4th+Ave%2C+Festac+Town+101232%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,4.2,6,https://scheckmates.org/projects,"roofing_contractor, point_of_interest, store, establishment",+234 813 441 3579
